t,CPU,RxKBTot,TxKBTot,WriteKBTot,Watts,Amps,RMS,diff_encoder_l,flag
163.4,26,1,0.4,1.8,98.54725823,0.617945165,0.152554762,30.25000993,0
163.42,26,1,0.42,1.74,98.54526421,0.617905284,0.158332302,38.58335121,0
163.44,26,1,0.44,1.68,98.54327019,0.617865404,0.172375942,46.9166925,0
163.46,26,1,0.46,1.62,98.54127617,0.617825523,0.131279011,48.4999973,0
163.48,26,1,0.48,1.56,98.53928216,0.617785643,0.111882599,42.9999396,0
163.5,26,1,0.5,1.5,98.53728814,0.617745763,0.117673119,23.00007947,0
163.52,26,1,0.52,1.44,98.53529412,0.617705882,0.167507529,21.38708198,0
163.54,26,1,0.54,1.38,98.5333001,0.617666002,0.151132414,24.86206963,0
163.56,26,1,0.56,1.32,98.53130608,0.617626122,0.218464445,24.17241551,0
163.58,26,1,0.58,1.26,98.52931207,0.617586241,0.214821106,24,0
163.6,26,1,0.6,1.2,98.52731805,0.617546361,0.315251306,24.16128993,0
163.62,26,1,0.62,1.14,98.52532403,0.617506481,0.318222892,24.80645332,0
163.64,26,1,0.64,1.08,98.52333001,0.6174666,0.228568116,24.53333047,0
163.66,26,1,0.66,1.02,98.52133599,0.61742672,0.201633757,23.19998538,0
163.68,26,1,0.68,0.96,98.51934198,0.61738684,0.143318376,19.20001335,0
163.7,26,1,0.7,0.9,98.51734796,0.617346959,0.112278199,21.26664441,0
163.72,26,1,0.72,0.84,98.51535394,0.617307079,0.116947034,24.8620708,0
163.74,26,1,0.74,0.78,98.51335992,0.617267198,0.131164729,24.172411,0
163.76,26,1,0.76,0.72,98.5113659,0.617227318,0.162238174,24,0
163.78,26,1,0.78,0.66,98.50937189,0.617187438,0.184784811,24,0
163.8,26,1,0.8,0.6,98.50737787,0.617147557,0.122846219,24,0
163.82,26,1,0.82,0.54,98.50538385,0.617107677,0.048985817,24,0
163.84,26,1,0.84,0.48,98.50338983,0.617067797,0.038100956,24,0
163.86,26,1,0.86,0.42,98.50139582,0.617027916,0.122137467,24,0
163.88,26,1,0.88,0.36,98.49818914,0.616981891,0.141198681,21.19998474,0
163.9,26,1,0.9,0.3,98.49215292,0.616921529,0.100825175,20.44449625,0
163.92,26,1,0.92,0.24,98.48611671,0.616861167,0.184956103,32.66669775,0
163.94,26,1,0.94,0.18,98.48008049,0.616800805,0.269941602,44.88889925,0
163.96,26,1,0.96,0.12,98.47404427,0.616740443,0.289831844,57.11110075,0
163.98,26,1,0.98,0.06,98.46800805,0.616680081,0.231289829,69.33330225,0
164,26,1,1,0,98.46197184,0.616619718,0.140639519,50.87099206,0
164.02,26,1,1,0,98.45593562,0.616559356,0.200338063,24,0
164.04,26,1,1,0,98.4498994,0.616498994,0.261089649,24,0
164.06,26,1,1,0,98.44386318,0.616438632,0.186585443,21.39998379,0
164.08,26,1,1,0,98.43782697,0.61637827,0.121218736,18.7000178,0
164.1,26,1,1,0,98.43179075,0.616317907,0.154379421,23.36665183,0
164.12,26,1,1,0,98.42575453,0.616257545,0.164611879,24.783335,0
164.14,26,1,1,0,98.41971831,0.616197183,0.127370104,24.45000135,0
164.16,26,1,1,0,98.4136821,0.616136821,0.133380608,24.1166677,0
164.18,26,1,1,0,98.40764588,0.616076459,0.161402279,29.06777374,0
164.2,26,1,1,0,98.40160966,0.616016097,0.184435686,36.86438189,0
164.22,26,1,1,0,98.39557344,0.615955734,0.200932154,44.66099004,0
164.24,26,1,1,0,98.38953723,0.615895372,0.135135856,47.46666476,0
164.26,26,1,1,0,98.38350101,0.61583501,0.134749249,44.13337021,0
164.28,26,1,1,0,98.37746479,0.615774648,0.143319319,24.80001844,0
164.3,26,1,1,0,98.37142857,0.615714286,0.093323944,21.25806973,0
164.32,26,1,1,0,98.36539236,0.615653924,0.212771164,24,0
164.34,26,1,1,0,98.35935614,0.615593561,0.228775361,24,0
164.36,26,1,1,0,98.35331992,0.615533199,0.150833044,24,0
164.38,26,1,1,0,98.3472837,0.615472837,0.168897036,24,0
164.4,26,1,1,0,98.34124749,0.615412475,0.148910346,24,0
164.42,26,1,1,0,98.33521127,0.615352113,0.24948004,24,0
164.44,26,1,1,0,98.32917505,0.615291751,0.099950453,23.30000779,0
164.46,26,1,1,0,98.32313883,0.615231388,0.148392593,18.63333667,0
164.48,26,1,1,0,98.31710262,0.615171026,0.204967155,20.03333445,0
164.5,26,1,1,0,98.3110664,0.615110664,0.08813806,24,0
164.52,26,1,1,0,98.30503018,0.615050302,0.133218426,24,0
164.54,26,1,1,0,98.29899396,0.61498994,0.280939271,24,0
164.56,26,1,1,0,98.29295775,0.614929577,0.17478479,24,0
164.58,26,1,1,0,98.28692153,0.614869215,0.170741553,24,0
164.6,26,1,1,0,98.28088531,0.614808853,0.140811901,24,0
164.62,26,1,1,0,98.27484909,0.614748491,0.116828651,24,0
164.64,26,1,1,0,98.26881287,0.614688129,0.130072496,24,0
164.66,26,1,1,0,98.26277666,0.614627767,0.195820996,21.19999777,0
164.68,26,1,1,0,98.25674044,0.614567404,0.192748729,17.46667334,0
164.7,26,1,1,0,98.25070422,0.614507042,0.157627768,22.13334446,0
164.72,26,1,1,0,98.244668,0.61444668,0.274348843,24,0
164.74,26,1,1,0,98.23863179,0.614386318,0.175706402,24,0
164.76,26,1,1,0,98.23259557,0.614325956,0.085462337,24,0
164.78,26,1,1,0,98.22655935,0.614265594,0.0834992,24,0
164.8,26,1,1,0,98.22052313,0.614205231,0.100362261,23.93333651,0
164.82,26,1,1,0,98.21448692,0.614144869,0.106166841,23.26666921,0
164.84,26,1,1,0,98.2084507,0.614084507,0.081176714,21.00000954,0
164.86,26,1,1,0,98.20241448,0.614024145,0.08265502,18.39999237,0
164.88,26,1,1,0,98.1988,0.614048,0.149773456,22.39999619,0
164.9,26,1,1,0,98.1968,0.614128,0.116056629,31.0413126,0
164.92,26,1,1,0,98.1948,0.614208,0.179282078,42.7768448,0
164.94,26,1,1,0,98.1928,0.614288,0.156196369,54.51237699,0
164.96,26,1,1,0,98.1908,0.614368,0.12306899,66.24790919,0
164.98,26,1,1,0,98.1888,0.614448,0.213679007,77.98344138,0
165,26,1,1,0,98.1868,0.614528,0.112491084,89.71897358,0
165.02,26,1,1,0,98.1848,0.614608,0.036984417,68.60012589,0
165.04,26,1,1,0,98.1828,0.614688,0.096586756,22.8333389,0
165.06,26,1,1,0,98.1808,0.614768,0.258637711,19.50000238,0
165.08,26,1,1,0,98.1788,0.614848,0.108410667,20.20000095,0
165.1,26,1,1,0,98.1768,0.614928,0.204720488,24,0
165.12,26,1,1,0,98.1748,0.615008,0.127223977,24,0
165.14,26,1,1,0,98.1728,0.615088,0.095253165,23.63333127,0
165.16,26,1,1,0,98.1708,0.615168,0.154082269,23.03333604,0
165.18,26,1,1,0,98.1688,0.615248,0.185281401,23.70000334,0
165.2,26,1,1,0,98.1668,0.615328,0.258117037,23.63333227,0
165.22,26,1,1,0,98.1648,0.615408,0.418651345,23.03333,0
165.24,26,1,1,0,98.1628,0.615488,0.169424578,23.6999973,0
165.26,26,1,1,0,98.1608,0.615568,0.089813706,21.8000124,0
165.28,26,1,1,0,98.1588,0.615648,0.154467748,18.19354053,0
165.3,26,1,1,0,98.1568,0.615728,0.151277172,22.06452089,0
165.32,26,1,1,0,98.1548,0.615808,0.208216147,23.65517096,0
